"year","emissions","anomaly"
"1990","6096",0.44
"1991","6171",0.42
"1992","6110",0.23
"1993","6104",0.24
"1994","6208",0.32
"1995","6344",0.45
"1996","6491",0.35
"1997","6589",0.48
"1998","6571",0.63
"1999","6559",0.42
"2000","6727",0.42
"2001","6886",0.54
"2002","6946",0.63
"2003","7367",0.62
"2004","7735",0.54
"2005","8025",0.69
"2006","8307",0.63
"2007","8488",0.66
"2008","8738",0.53
"2009","8641",0.64
"2010","9137",0.71
"2011","9508",0.6
"2012","9671",0.63
"2013","9776",0.66
